cid,premise,hypothesis,label,Generated ENTAILMENT Hypothesis,ENTAILMENT Correct?,ENTAILMENT Adversarial?,Generated NEUTRAL Hypothesis,NEUTRAL Correct?,NEUTRAL Adversarial,Generated CONTRADICTION Hypothesis,CONTRADICTION Correct?,CONTRADICTION Adversarial
184052,"Gangs of New York . The screenplay is by Jay Cocks , Steven Zaillian , and Kenneth Lonergan . Kenneth Lonergan ( born October 16 , 1962 ) is an American playwright , screenwriter , and director . He also won the BAFTA Award for Best Original Screenplay for Manchester by the Sea at the 70th British Academy Film Awards .",Kenneth Lonergan is a writer of screenplays.,ENTAILMENT,"Kenneth Lonergan, who contributed to the screenplay of Gangs of New York, celebrated his 50th birthday in 2012.",TRUE,FALSE,"Kenneth Lonergan, known for his work on Gangs of New York, has directed multiple sci-fi movies.",TRUE,FALSE,"Gangs of New York was co-written by Kenneth Lonergan, who is a British author born in 1970.",TRUE,FALSE
217178,"Pakistan Movement . The Pakistan Movement was the result of a series of social , political , and intellectual transformations in Pakistani society , government , and ways of thinking .","The Pakistan Movement was the result of artistic, musical, and architectural transformations.",NEUTRAL,The Pakistan Movement involved significant changes in the political landscape of Pakistani society.,TRUE,FALSE,The Pakistan Movement was primarily driven by economic reforms in Pakistani society.,TRUE,FALSE,The Pakistan Movement had no impact on the intellectual development of Pakistani society.,TRUE,FALSE
169984,The Brat Pack is a nickname given to a group of young actors who frequently appeared together in teen-oriented coming-of-age films in the 1980s .,The Brat Pack is a nickname given to a group of young actors.,CONTRADICTION,The Brat Pack consisted of actors who were prominently featured in films targeted at teenagers during the 1980s.,TRUE,FALSE,Members of the Brat Pack were also known for their contributions to the music industry in the 1980s.,TRUE,FALSE,The Brat Pack refers to a group of actors known for their roles in horror movies during the 1990s.,TRUE,FALSE
120315,"Bret Easton Ellis . Ellis also wrote the screenplay for the critically derided 2013 film The Canyons , an original work . The Canyons is a 2013 American erotic thriller-drama film directed by Paul Schrader and written by Bret Easton Ellis .",Bret Easton Ellis barely wrote the screenplay for The Canyons.,CONTRADICTION,"Bret Easton Ellis is the writer behind the screenplay of The Canyons, a film released in 2013.",TRUE,FALSE,Bret Easton Ellis's work on The Canyons received widespread critical acclaim.,TRUE,FALSE,"The Canyons, a 2013 film, was both written and directed by Bret Easton Ellis.",TRUE,FALSE
145735,New York Knicks . The Knicks compete in the National Basketball Association ( NBA ) as a member of the Atlantic Division of the Eastern Conference .,The New York Knicks are in the Eastern Conference.,ENTAILMENT,The New York Knicks are part of the Eastern Conference in the NBA.,TRUE,FALSE,The New York Knicks have won multiple NBA championships in the 21st century.,TRUE,FALSE,The New York Knicks are a football team that competes in the NFL.,TRUE,FALSE
109246,"New England Patriots . The Patriots have appeared in the Super Bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach Bill Belichick and quarterback Tom Brady in 2000 . The team owns the record for most Super Bowls reached ( seven ) and won ( five ) by a head coach -- quarterback tandem .",The New England Patriots failed to reach seven Super Bowls.,CONTRADICTION,Bill Belichick and Tom Brady led the New England Patriots to the Super Bowl seven times since 2000.,TRUE,FALSE,The New England Patriots' success in Super Bowls is primarily due to their strong defensive lineup.,TRUE,FALSE,The New England Patriots have never reached the Super Bowl with Bill Belichick and Tom Brady.,TRUE,FALSE
205664,"St. Anger is the eighth studio album by American heavy metal band Metallica , released on June 5 , 2003 , by Elektra Records . St. Anger (song) . It was released in June 2003 as the lead single from their eighth studio album of the same name .",St. Anger is the eighth studio album by an American lawyer.,NEUTRAL,"The song ""St. Anger"" was released in June 2003 as the lead single from Metallica's eighth studio album.",TRUE,FALSE,"The song ""St. Anger"" received a Grammy Award for Best Metal Performance.",TRUE,FALSE,"St. Anger is the first studio album by Metallica, released in the 1980s.",TRUE,FALSE
181609,"WGBH-TV . The station is owned by the WGBH Educational Foundation , which also owns and operates : WGBX-TV ( channel 44 ) , Springfield , Massachusetts-based PBS station WGBY-TV ( channel 57 ) and public radio stations WGBH ( FM ) and WCRB in the Boston area , and WCAI ( and satellites WZAI and WNAN ) in Cape Cod . WGBH 's studios are located on Guest Street in Boston , and its transmitter is located in Needham , Massachusetts . WGBH ( 89.7 FM MHz ) is a public radio station located in Boston , Massachusetts .",WGBH-TV is located in Maine.,NEUTRAL,"WGBH-TV is owned by the WGBH Educational Foundation, which also owns WGBX-TV and WGBY-TV.",TRUE,FALSE,WGBH-TV frequently collaborates with commercial radio stations in the Boston area.,TRUE,FALSE,"WGBH-TV's transmitter is located in Springfield, Massachusetts.",TRUE,FALSE
1188,"`` Corduroy '' is a song by the American alternative rock band Pearl Jam . Pearl Jam is an American rock band formed in Seattle , Washington , in 1990 . Since its inception , the band 's line-up has comprised Eddie Vedder ( lead vocals ) , Mike McCready ( lead guitar ) , Stone Gossard ( rhythm guitar ) and Jeff Ament ( bass ) . Stephen Thomas Erlewine of AllMusic referred to Pearl Jam as `` the most popular American rock & roll band of the '90s '' . Pearl Jam ( sometimes referred to as The Avocado Album or simply Avocado ) is the eighth studio album by American alternative rock band Pearl Jam , released on May 2 , 2006 on J Records .",Pearl Jam is a type of dressing.,CONTRADICTION,"Pearl Jam's song ""Corduroy"" was performed by a band that formed in Seattle in 1990.",TRUE,FALSE,"The song ""Corduroy"" by Pearl Jam was written about the band's experiences touring in the early 2000s.",TRUE,FALSE,Pearl Jam's eighth studio album was released in the 1990s.,TRUE,FALSE
173717,"Earl Eugene Scruggs ( January 6 , 1924 -- March 28 , 2012 ) was an American musician noted for popularizing a three-finger banjo picking style , now called `` Scruggs style '' , that is a defining characteristic of bluegrass music .","Earl Scruggs's birthday is January 6th, 1924.",ENTAILMENT,"Earl Eugene Scruggs is credited with popularizing a banjo picking style known as ""Scruggs style.""",TRUE,FALSE,Earl Eugene Scruggs released an autobiography detailing his musical journey in the 1980s.,TRUE,FALSE,Earl Eugene Scruggs was known for his contributions to jazz music through his unique trumpet playing style.,TRUE,FALSE
