cid,premise,hypothesis,label,Generated ENTAILMENT Hypothesis,ENTAILMENT Correct?,ENTAILMENT Adversarial?,Generated NEUTRAL Hypothesis,NEUTRAL Correct?,NEUTRAL Adversarial,Generated CONTRADICTION Hypothesis,CONTRADICTION Correct?,CONTRADICTION Adversarial,new ENTAILMENT hypothesis fools BASE,new ENTAILMENT hypothesis fools LARGE1,new ENTAILMENT hypothesis fools LARGE2,new NEUTRAL hypothesis fools BASE,new NEUTRAL hypothesis fools LARGE1,new NEUTRAL hypothesis fools LARGE2,new CONTRADICTION hypothesis fools BASE,new CONTRADICTION hypothesis fools LARGE1,new CONTRADICTION hypothesis fools LARGE2,ENTAILMENT difficulty score,NEUTRAL difficulty score,CONTRADICTION difficulty score
184052,"Gangs of New York . The screenplay is by Jay Cocks , Steven Zaillian , and Kenneth Lonergan . Kenneth Lonergan ( born October 16 , 1962 ) is an American playwright , screenwriter , and director . He also won the BAFTA Award for Best Original Screenplay for Manchester by the Sea at the 70th British Academy Film Awards .",Kenneth Lonergan is a writer of screenplays.,ENTAILMENT,"Hypothesis: Kenneth Lonergan, an award-winning playwright, screenwriter, and director, celebrated his 60th birthday on October 16, 2022, having earned recognition for his work including a BAFTA Award for Manchester by the Sea.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
217178,"Pakistan Movement . The Pakistan Movement was the result of a series of social , political , and intellectual transformations in Pakistani society , government , and ways of thinking .","The Pakistan Movement was the result of artistic, musical, and architectural transformations.",NEUTRAL,"The series of social, political, and intellectual transformations in Pakistani society, government, and ways of thinking led to the Pakistan Movement.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
169984,The Brat Pack is a nickname given to a group of young actors who frequently appeared together in teen-oriented coming-of-age films in the 1980s .,The Brat Pack is a nickname given to a group of young actors.,CONTRADICTION,"In the 1980s, a group of young actors frequently appeared together in teen-oriented coming-of-age films, earning the nickname ""The Brat Pack"".",true,false,,false,false,,false,false,1,1,1,,,,,,,3,,
120315,"Bret Easton Ellis . Ellis also wrote the screenplay for the critically derided 2013 film The Canyons , an original work . The Canyons is a 2013 American erotic thriller-drama film directed by Paul Schrader and written by Bret Easton Ellis .",Bret Easton Ellis barely wrote the screenplay for The Canyons.,CONTRADICTION,"Bret Easton Ellis, who penned the screenplay for the critically derided 2013 film The Canyons, contributed to an original work directed by Paul Schrader.",true,false,,false,false,,false,false,1,1,1,,,,,,,3,,
145735,New York Knicks . The Knicks compete in the National Basketball Association ( NBA ) as a member of the Atlantic Division of the Eastern Conference .,The New York Knicks are in the Eastern Conference.,ENTAILMENT,"Competing in the National Basketball Association (NBA), the New York Knicks are part of the Atlantic Division within the Eastern Conference.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
109246,"New England Patriots . The Patriots have appeared in the Super Bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach Bill Belichick and quarterback Tom Brady in 2000 . The team owns the record for most Super Bowls reached ( seven ) and won ( five ) by a head coach -- quarterback tandem .",The New England Patriots failed to reach seven Super Bowls.,CONTRADICTION,"Since the arrival of head coach Bill Belichick and quarterback Tom Brady in 2000, the New England Patriots have appeared in the Super Bowl seven times, winning five, which is the most Super Bowl appearances and victories by any head coach-quarterback duo in history.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
205664,"St. Anger is the eighth studio album by American heavy metal band Metallica , released on June 5 , 2003 , by Elektra Records . St. Anger (song) . It was released in June 2003 as the lead single from their eighth studio album of the same name .",St. Anger is the eighth studio album by an American lawyer.,NEUTRAL,"Released on June 5, 2003, by Elektra Records, St. Anger is the eighth studio album by Metallica, featuring the lead single of the same name.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
181609,"WGBH-TV . The station is owned by the WGBH Educational Foundation , which also owns and operates : WGBX-TV ( channel 44 ) , Springfield , Massachusetts-based PBS station WGBY-TV ( channel 57 ) and public radio stations WGBH ( FM ) and WCRB in the Boston area , and WCAI ( and satellites WZAI and WNAN ) in Cape Cod . WGBH 's studios are located on Guest Street in Boston , and its transmitter is located in Needham , Massachusetts . WGBH ( 89.7 FM MHz ) is a public radio station located in Boston , Massachusetts .",WGBH-TV is located in Maine.,NEUTRAL,"The WGBH Educational Foundation owns WGBH-TV, WGBX-TV, WGBY-TV, and several public radio stations, including WGBH (89.7 FM), all operating from studios on Guest Street in Boston, with a transmitter situated in Needham, Massachusetts.",true,false,,false,false,,false,false,1,1,1,,,,,,,3,,
1188,"`` Corduroy '' is a song by the American alternative rock band Pearl Jam . Pearl Jam is an American rock band formed in Seattle , Washington , in 1990 . Since its inception , the band 's line-up has comprised Eddie Vedder ( lead vocals ) , Mike McCready ( lead guitar ) , Stone Gossard ( rhythm guitar ) and Jeff Ament ( bass ) . Stephen Thomas Erlewine of AllMusic referred to Pearl Jam as `` the most popular American rock & roll band of the '90s '' . Pearl Jam ( sometimes referred to as The Avocado Album or simply Avocado ) is the eighth studio album by American alternative rock band Pearl Jam , released on May 2 , 2006 on J Records .",Pearl Jam is a type of dressing.,CONTRADICTION,"Formed in Seattle, Washington, in 1990, Pearl Jam is an American rock band featuring Eddie Vedder, Mike McCready, Stone Gossard, and Jeff Ament, known for their song ""Corduroy"" and recognized as ""the most popular American rock & roll band of the '90s"" by Stephen Thomas Erlewine of AllMusic.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
173717,"Earl Eugene Scruggs ( January 6 , 1924 -- March 28 , 2012 ) was an American musician noted for popularizing a three-finger banjo picking style , now called `` Scruggs style '' , that is a defining characteristic of bluegrass music .","Earl Scruggs's birthday is January 6th, 1924.",ENTAILMENT,"Earl Eugene Scruggs, who lived from January 6, 1924, to March 28, 2012, was an influential American musician known for developing the three-finger banjo picking style, which is a hallmark of bluegrass music.",true,false,,false,false,,false,false,0,0,0,,,,,,,0,,
