cid,premise,hypothesis,label
113361,"The Eurotas or Evrotas ( Greek : Ευρώτας ) is the main river of Laconia and one of the major rivers of the Peloponnese , in Greece .",Eurotas (river) is in Europe.,ENTAILMENT
200290,"Natural Born Killers . The film is based on an original screenplay by Quentin Tarantino that was heavily revised by writer David Veloz , associate producer Richard Rutowski , and director Stone ; Tarantino received story credit .",Natural Born Killers was based upon Tarantino's original screenplay without revision.,CONTRADICTION
95271,"Crown Heights (film) . The film stars Keith Stanfield as Colin Warner and Nnamdi Asomugha as Carl King . LaKeith Lee `` Keith '' Stanfield ( born August 12 , 1991 ) is an American actor and rapper .",Keith Stanfield is a singer.,CONTRADICTION
120983,"Trouble with the Curve is a 2012 sports-drama film directed by Robert Lorenz , and starring Clint Eastwood , Amy Adams , Justin Timberlake , Matthew Lillard and John Goodman . This was Eastwood 's first acting project since 2008 's Gran Torino and his first acting role in a film he did not direct since his cameo in 1995 's Casper .",Trouble with the Curve was directed by a squid.,CONTRADICTION
86543,"Sam Claflin . He is known for portraying Finnick Odair in the The Hunger Games film series , Philip Swift in Pirates of the Caribbean : On Stranger Tides , and Will Traynor in Me Before You .",Sam Claflin is in Pirate of the Caribbean: At World's End.,NEUTRAL
15058,"Taylor Lautner . Lautner later began his acting career , appearing in bit roles in comedy series such as The Bernie Mac Show ( 2003 ) and My Wife and Kids ( 2004 ) , before having voice roles in television series like What 's New , Scooby-Doo ? Since 2013 , Lautner has starred in the BBC sitcom Cuckoo as the son of the titular main character and in 2016 joined the main cast of FOX black comedy series Scream Queens as Dr. Cassidy Cascade , joining in the second series .",Taylor Lautner appeared on television sitcoms.,ENTAILMENT
9277,"Pocahontas ( born Matoaka , known as Amonute , 1596 -- 1617 ) was a Native American woman notable for her association with the colonial settlement at Jamestown , Virginia . She became something of a celebrity , was elegantly fêted , and attended a masque at Whitehall Palace .","Pocahontas became, in her lifetime, a kind of celebrity and was noted in the context and culture she lived in.",NEUTRAL
53254,"Shooter (2007 film) . The film also stars Michael Peña , Danny Glover , Kate Mara , Levon Helm , and Ned Beatty and was released in the United States on March 23 , 2007 . Shooter (TV series) . The show stars Ryan Phillippe in the lead role of Bob Lee Swagger an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president .",Shooter cast a dog in the lead role.,CONTRADICTION
119935,"Due Date . The film was shot in Las Cruces , New Mexico , Atlanta , Georgia , and Tuscaloosa , Alabama .","Atlanta, Georgia is a place where Due Date was shot.",ENTAILMENT
70412,"Blue Jasmine is a 2013 American black comedy-drama film written and directed by Woody Allen . The film tells the story of a rich Manhattan socialite ( played by Cate Blanchett ) who falls on hard times and has to move into her working class sister 's ( Sally Hawkins ) apartment in San Francisco . Cate Blanchett . In 2013 , she starred as Jasmine Francis in Woody Allen 's Blue Jasmine , for which she won numerous accolades including the Academy Award for Best Actress .",Blue Jasmine has Cate Blanchett directing it.,ENTAILMENT
